City,State
Agra,Uttar Pradesh
Manjeshwar,Unknown
Bhopal,Madhya Pradesh
Nasik,Maharashtra
,Unknown
Kattappana,Kerala
Kamshet,Unknown
AP,Unknown
Kotyam,Unknown
Kochi,Kerala
Navsari Guj,Gujarat
Yeranakulam,Unknown
Koilkod,Unknown
Jamnagar,Gujarat
Thrissur,Kerala
Hubli,Karnataka
Tuticorin,Unknown
Nr Rameshwaram,Unknown
Hoskote,Karnataka
Gulbarga,Karnataka
Badoda,Unknown
Panvel Mumbai,Maharashtra
Tamil Nadu,Unknown
Gannavaram Vwada,Unknown
Kothamangalam,Unknown
Penugonda,Unknown
Tiruchirapalli,Unknown
CMagaluru,Unknown
Colaba Mumbai,Maharashtra
Mumbai,Maharashtra
Tiruchangod,Unknown
Vadakara,Kerala
Tiruchengode,Unknown
Kolkatta,Unknown
Sambhaji Ngr,Unknown
Erakudi,Unknown
Mys,Unknown
Kochi,Kerala
Vishakapatnam,Unknown
Paramakudi,Tamil Nadu
Satara,Maharashtra
Laxmeshwar,Karnataka
Sulthan Bathery,Kerala
Chidambaram,Unknown
Alwaye,Unknown
Trivandrum,Kerala
Pathanamthitta,Kerala
Valsad,Gujarat
Koothattukulam,Kerala
Tiruviza,Unknown
Tirvandrum,Unknown
Khammam,Telangana
Mavelikara,Kerala
Thuravoor,Unknown
Panavel,Unknown
Karur Tamil Nadu,Unknown
Near Kochi,Kerala
Gudalur Nilgiris,Unknown
Thane,Maharashtra
Kolkata,Unknown
Gadhinglaj,Maharashtra
Yernakulam,Kerala
Delhi,Delhi
Sirsi Bluru,Karnataka
Nr Kochi,Kerala
Borivali Mumbai,Maharashtra
Cuddalore,Tamil Nadu
Weynad,Unknown
Kodumon Nr Adur,Unknown
Gwalior,Madhya Pradesh
Kottayam,Kerala
Aluva,Unknown
Vengurla,Unknown
Kankavli,Unknown
Trivandrum,Kerala
Vadagara,Unknown
Kodaikanal,Tamil Nadu
Rajapalyam,Unknown
Tiruchengodu,Unknown
Alappuzha,Kerala
Muvattupuza,Unknown
Ahmedabad,Gujarat
Kumbakonam,Tamil Nadu
Gandhi Ngr,Unknown
Trichy,Unknown
Erattupetta,Unknown
Pannani,Unknown
Blore,Unknown
Nagpur,Maharashtra
Chertala,Unknown
Nanminda,Unknown
Moodbidri,Karnataka
Kochi,Kerala
Kottyam,Unknown
Thanjavur,Tamil Nadu
Bluru,Unknown
SelemChennai,Tamil Nadu
Tirunelveli,Tamil Nadu
Talchery,Unknown
Egattur,Unknown
Kannur,Kerala
Girgaon Mumbai,Maharashtra
Malapuram,Unknown
Tidadi Nr Alleppy,Unknown
Neyveli,Tamil Nadu
Bardez Goa,Goa
Chikkamagalur,Karnataka
Payanur,Unknown
Vijayawada,Andhra Pradesh
Pudukotai,Unknown
Alawa,Unknown
Koratti,Unknown
Kodumudi,Kerala
Kollem,Unknown
Vadagera,Unknown
Pathanamthitta,Kerala
Pallickal,Unknown
Chembur Mumbai,Maharashtra
Allupuza,Unknown
Guruwayur,Unknown
Goregaon Mumbai,Maharashtra
Kozhikkode,Unknown
Vypin,Kerala
Eluru AP,Andhra Pradesh
Pondichery,Unknown
Panavel Mumbai,Maharashtra
Pudukottai,Tamil Nadu
Payyanur,Kerala
Madgaon Goa,Goa
Changangacherry,Unknown
Palghat,Unknown
Kalady,Unknown
Thalassewry,Unknown
Gudur,Unknown
Sulya,Karnataka
Bokaro Steel City,Jharkhand
Cal,Unknown
Indore,Madhya Pradesh
Selam,Unknown
Kelshi,Unknown
Alibag,Maharashtra
Roha,Unknown
Tiruvalla,Unknown
Lohegaon Pune,Maharashtra
Tirpur,Unknown
Pattambi Palakkad,Kerala
Dirba,Unknown
Pandalam,Unknown
Bichollim Goa,Goa
Vedaranyam,Unknown
Tanjavore,Unknown
Vardhari Tamil Nadu,Unknown
Muvattupuzha,Unknown
Vellore,Tamil Nadu
Kudal,Unknown
Vadakkekkra,Unknown
Kargil,Unknown
Vikarabad,Unknown
Hanuman Ghar,Unknown
Ponda Goa,Goa
Vittal Mluru,Karnataka
Calcutta,Unknown
Cumbum,Unknown
Kalasa Cmagalur,Karnataka
